"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"AC029782026";51263;"03340836000123";"RAIMUNDO ADEMIR M. DE SOUZA / JORNAL DE NOTICIAS DA HORA";"16500,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC067872026";354807;"14339220000159";"RADIO E TELEVISAO NORTE LTDA";"26,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC034662026";50944;"02521188000149";"E. A. DE CARVALHO E CIA LTDA. / AMBIENTA - SOLUCOES AMBIENTAIS";"35000,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC080982026";50932;"02521188000149";"E. A. DE CARVALHO E CIA LTDA. / AMBIENTA - SOLUCOES AMBIENTAIS";"15000,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC079002026";355220;"01020851000169";"EMPRESA CRUZEIRENSE DE TELEC DE RADIO E TV LTDA / TV E RADIO JURUA";"32000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC091062026";355059;"04387825000161";"RADIO TV DO AMAZONAS LTDA / REDE AMAZONICA RADIO E TELEVISAO";"134871,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC029782026";51264;"48439330000104";"GLOBAL PRESS LATINA LTDA / ALERTA CIDADE.COM";"16500,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC026582026";355042;"14339220000159";"RADIO E TELEVISAO NORTE LTDA";"26,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC010692026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC088822026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC072902026";355226;"44691365000185";"FREEMEDIA MARKETING DIGITAL LTDA / FREEMEDIA MARKETING DIGITAL";"11150,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC053872026";52184;"14339220000159";"RADIO E TELEVISAO NORTE LTDA";"26,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC078152026";354724;"13218533000196";"AC 24 HORAS LTDA / AC 24 HORAS";"39000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC083542026";50911;"14339220000159";"RADIO E TELEVISAO NORTE LTDA";"26000,00";"S";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC090562026";51736;"14339220000159";"RADIO E TELEVISAO NORTE LTDA";"36000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC026992026";50422;"02521188000149";"E. A. DE CARVALHO E CIA LTDA. / AMBIENTA - SOLUCOES AMBIENTAIS";"15000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC083542026";50912;"14339220000159";"RADIO E TELEVISAO NORTE LTDA";"26000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC088162026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC011822026";5351;"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC072342026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC033332026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC007702026";50418;"19306841000150";"FRANCO & RODRIGUES COMUNICACAO SOCIAL  E EMPREENDIMENTOS LTDA / JORNAL CORREIO CONTINENTAL RO";"7000,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC016492026";354791;"01020851000169";"EMPRESA CRUZEIRENSE DE TELEC DE RADIO E TV LTDA / TV E RADIO JURUA";"32000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC099672026";51535;"03340836000123";"RAIMUNDO ADEMIR M. DE SOUZA / JORNAL DE NOTICIAS DA HORA";"18000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC007182026";51947;"65485452000156";"W.D COMERCIO E SERVICOS LTDA / W.D EMPREENDIMENTOS";"25,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AC031292026";36100;"02170847000140";"DATA CONTROL INSTITUTO DE PESQUISA LTDA - ME";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC013992026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC049142026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AC094662026";5990;"44338241000110";"INSTITUTO NOVO PERFIL PESQUISAS LTDA";"0,00";"N";"#NULO#"
