"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"AL033162026";355131;"12019360000114";"TV PAJUCARA LTDA";"45000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL055032026";354992;"02370536000124";"ELO COMUNICACAO LTDA / TELA, ATV E TVA";"88440,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL078642026";355145;"01308052000192";"MOVIMENTO DEMOCRATICO BRASILEIRO - ALAGOAS - AL - ESTADUAL / MDB ALAGOAS";"50000,00";"S";"Fundo Partidário"
"01/09/2026";"05:46:44";2026;"AL027592026";51392;"37557837000146";"AGORA ALAGOAS COMUNICACAO - LTDA / PORTAL AGORA ALAGOAS";"47000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL013992026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AL006982026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AL048572026";52276;"37557837000146";"AGORA ALAGOAS COMUNICACAO - LTDA / PORTAL AGORA ALAGOAS";"47000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL070312026";355232;"18576524000190";"EXITO ESTRATEGIA LTDA / EXITO ESTRATEGIA";"60000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL046082026";51993;"02895028000160";"R B DANTAS LTDA / COAGRO";"47000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL079562026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AL064882026";52159;"11035380000116";"BARROS MELO COMUNICACAO LTDA / CADA MINUTO.COM";"15000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL037392026";355091;"11035380000116";"BARROS MELO COMUNICACAO LTDA / CADA MINUTO.COM";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL058612026";51818;"57888576000316";"MACEIO FM RADIOS DIFUSORAS LTDA / JOVEM PAN NEWS";"65000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL050872026";577390;"51772470000104";"INSTITUTO DATATRENDS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AL092992026";577390;"51772470000104";"INSTITUTO DATATRENDS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AL056112026";50710;"09073777000150";"PLUS COMUNICACAO E SERVICOS LTDA";"10000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL039742026";50339;"02895028000160";"R B DANTAS LTDA / COAGRO";"42000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL091062026";51552;"01308052000192";"MOVIMENTO DEMOCRATICO BRASILEIRO - ALAGOAS - AL - ESTADUAL / MDB ALAGOAS";"50000,00";"S";"Fundo Partidário"
"01/09/2026";"05:46:44";2026;"AL051212026";355198;"37557837000146";"AGORA ALAGOAS COMUNICACAO - LTDA / PORTAL AGORA ALAGOAS";"47000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL014602026";52061;"57888576000316";"MACEIO FM RADIOS DIFUSORAS LTDA / JOVEM PAN NEWS";"65000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL058942026";355146;"50552811000173";"ALAGOAS SISTEMA DE COMUNICACAO LTDA / NOVA FM 92.5";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL044912026";52007;"12019360000114";"TV PAJUCARA LTDA";"45000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL072862026";355047;"37557837000146";"AGORA ALAGOAS COMUNICACAO - LTDA / PORTAL AGORA ALAGOAS";"47000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL081232026";354611;"01308052000192";"MOVIMENTO DEMOCRATICO BRASILEIRO - ALAGOAS - AL - ESTADUAL / MDB ALAGOAS";"50000,00";"S";"Fundo Partidário"
"01/09/2026";"05:46:44";2026;"AL076562026";355023;"18576524000190";"EXITO ESTRATEGIA LTDA / EXITO ESTRATEGIA";"60000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AL034002026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AL025192026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
