"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"AM068232026";51757;"18264177000160";"KLEYBER JORGE DA SILVEIRA 07661538601 / KS TURIS CONSULTORIA EM TURISMO";"37950,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM045952026";355026;"04387825000161";"RADIO TV DO AMAZONAS LTDA / REDE AMAZONICA RADIO E TELEVISAO";"124620,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AM030182026";50982;"45194703000136";"ZLZN CONTEUDO E RADIODIFUSAO DO NORTE LTDA / ZLZN CONTEUDO";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AM011182026";355206;"14750877000104";"SEDEK SERVICOS, TECNOLOGIA & INFORMACAO LTDA / SEDEK";"45000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AM080422026";6130;"11642489000111";"DCASTRO COMUNICACAO E MARKETING LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM099652026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM008862026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM056012026";31701;"06023655000161";"A F SOARES MARKETING E PESQUISAS DE MERCADO LTDA - EPP";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM033872026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM070272026";50913;"45194703000136";"ZLZN CONTEUDO E RADIODIFUSAO DO NORTE LTDA / ZLZN CONTEUDO";"20000,00";"S";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM025492026";51936;"63657824000159";"PHIBRAS TECNOLOGIA LTDA / PHIBRAS TECNOLOGIA";"85000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AM076122026";51566;"23745434000116";"N.C. DE SOUZA LTDA / BRASIL NORTE COMUNICACAO";"60000,00";"S";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM099762026";51536;"15590095000118";"JENAV SEVICOS EMPRESARIAIS E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AM066352026";34100;"22267969000166";"M P VALIN EIRELI";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM034972026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM055832026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM094042026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AM033772026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
