"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"AP094382026";355034;"04387825000161";"RADIO TV DO AMAZONAS LTDA / REDE AMAZONICA RADIO E TELEVISAO";"128841,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AP000622026";355101;"14750877000104";"SEDEK SERVICOS, TECNOLOGIA & INFORMACAO LTDA / SEDEK";"45000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AP007672026";5351;"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP023232026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP059262026";580693;"52182942000131";"TOP COMERCIOS E SERVICOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP008372026";50876;"09542249000101";"ASSOCIACAO DOS MUNICIPIOS DO ESTADO DO AMAPA - AMEAP / AMEAP";"30000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AP076302026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP065952026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP053822026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP098152026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP046612026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP021752026";5351;"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP009852026";354882;"51247041000118";"TIMES BRASIL MEDIA LTDA";"20000,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP037742026";580693;"52182942000131";"TOP COMERCIOS E SERVICOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP076182026";1006;"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP059062026";581752;"05270800000146";"GERP MERCADOLOGIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP029702026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP026512026";354568;"14750877000104";"SEDEK SERVICOS, TECNOLOGIA & INFORMACAO LTDA / SEDEK";"45000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"AP021832026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP062932026";580693;"52182942000131";"TOP COMERCIOS E SERVICOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"AP031702026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
