"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"CE084782026";50711;"40950269000153";"DON7 MEDIA LTDA / DON7 MEDIA";"130000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE023572026";355178;"28796897000120";"FOCUS COMUNICACAO E MIDIA LTDA";"55000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE001952026";354909;"35008325000103";"RADIO COSTA DO SOL LTDA";"90000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE001512026";50926;"40950269000153";"DON7 MEDIA LTDA / DON7 MEDIA";"130000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE093302026";51599;"45114358000183";"OPINIAOCE COMUNICACAO LTDA / OPINIAOCE";"50000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE051392026";50328;"40950269000153";"DON7 MEDIA LTDA / DON7 MEDIA";"125000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE004182026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"CE075612026";51287;"19213777000162";"XUZHOU KAT DO BRASIL IMPORTACAO DE MAQUINAS E TRATORES LTDA / KAT MAQUINAS LTDA";"97500,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE011492026";355194;"07199664000170";"TELEVISAO VERDES MARES LTDA";"112140,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE076452026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"CE064772026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"CE080262026";577390;"51772470000104";"INSTITUTO DATATRENDS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"CE079352026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"CE057392026";354645;"35008325000103";"RADIO COSTA DO SOL LTDA";"90000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE016682026";51011;"29448837000180";"TELEFOX AGENCIA DE NOTICIAS E TELECOMUNICACOES LTDA / GRUPO TELEFOX E EDITORA DE COMUNICACOES";"63000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE075502026";50839;"52530019000143";"REDE INTEGRADA DE COMUNICACAO ANC LTDA / REDE ANC";"35000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE042922026";354841;"07222565000162";"EMPRESA JORNALISTICA O POVO S A / JORNAL O POVO";"102400,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE048282026";51659;"35008325000103";"RADIO COSTA DO SOL LTDA";"90000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE027772026";354825;"28796897000120";"FOCUS COMUNICACAO E MIDIA LTDA";"55000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE079252026";50880;"07222565000162";"EMPRESA JORNALISTICA O POVO S A / JORNAL O POVO";"81600,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE056822026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"CE082232026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"CE034652026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"CE040072026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"CE017252026";51311;"45246410000155";"BANCO GENIAL S.A.";"204886,89";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE054592026";51001;"45114358000183";"OPINIAOCE COMUNICACAO LTDA / OPINIAOCE";"50000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE010282026";50528;"53400956000147";"INSTITUTO OPINIAO DE GESTAO E PESQUISAS LTDA / INSTITUTO OPINIAO";"50000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE092772026";354698;"45246410000155";"BANCO GENIAL S.A.";"204886,90";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE022742026";50933;"35008325000103";"RADIO COSTA DO SOL LTDA";"90000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE054592026";51000;"45114358000183";"OPINIAOCE COMUNICACAO LTDA / OPINIAOCE";"50000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE041222026";355175;"07222565000162";"EMPRESA JORNALISTICA O POVO S A / JORNAL O POVO";"120300,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"CE035062026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"CE099712026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"CE088762026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
