"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"ES031762026";51275;"27063726000120";"A GAZETA DO ESPIRITO SANTO RADIO E TV LTDA / TV GAZETA";"95877,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"ES044442026";355066;"27063726000120";"A GAZETA DO ESPIRITO SANTO RADIO E TV LTDA / TV GAZETA";"95877,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"ES066982026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES044822026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES067222026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES025302026";5351;"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES016792026";5508;"10175843000182";"INSTITUTO DE PESQUISAS PERFIL LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES050962026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES073152026";32550;"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES068392026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES051812026";5508;"10175843000182";"INSTITUTO DE PESQUISAS PERFIL LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES003682026";32550;"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES072112026";52135;"27063726000120";"A GAZETA DO ESPIRITO SANTO RADIO E TV LTDA / TV GAZETA";"95877,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"ES097282026";50971;"17247933000180";"SA ESTADO DE MINAS";"194810,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"ES002462026";51801;"23895081000130";"BDC COMUNICACOES LTDA";"40000,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES055882026";5351;"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES090492026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES060022026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES002062026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES076032026";50916;"27060433000199";"OCB/ES-SIND E ORG DAS COOPERATIVAS BRASILEIRAS DO EST DO ES";"30000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"ES041432026";51083;"23895081000130";"BDC COMUNICACOES LTDA";"40000,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES070932026";52165;"23895081000130";"BDC COMUNICACOES LTDA";"40000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"ES089122026";354725;"28504695000168";"BRAND CONSULTORIA E GESTAO LTDA";"32,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"ES028592026";355134;"23895081000130";"BDC COMUNICACOES LTDA";"40000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"ES053362026";51476;"23895081000130";"BDC COMUNICACOES LTDA";"10000,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES084692026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES008242026";32550;"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"ES074852026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
