"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"MS088892026";50781;"03119724000147";"CORREIO DO ESTADO LTDA";"12500,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS016682026";50973;"07364083000147";"CAMPO GRANDE NOTICIAS LTDA / CAMPO GRANDE NEWS LTDA";"29000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS071902026";354704;"07364083000147";"CAMPO GRANDE NOTICIAS LTDA / CAMPO GRANDE NEWS LTDA";"29000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS007932026";355014;"24612251000195";"TELEVISAO PONTA PORA LTDA / TV MORENA";"104922,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS086442026";50757;"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A.";"20000,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MS023552026";51843;"03119724000147";"CORREIO DO ESTADO LTDA";"12500,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS063192026";51330;"03119724000147";"CORREIO DO ESTADO LTDA";"12500,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS020472026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MS059582026";354585;"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A.";"10000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS090262026";50999;"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A.";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS038392026";51630;"07364083000147";"CAMPO GRANDE NOTICIAS LTDA / CAMPO GRANDE NEWS LTDA";"29000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS083172026";354601;"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A.";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS068202026";51795;"12593551000195";"DRCOSTA'S JORNALISMO LTDA / JORNAL DE DOMINGO MS";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS064172026";50421;"03955300000112";"RADIO FM D A LTDA / RADIO FM CAARAPO";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS026592026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MS064122026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MS052192026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MS030772026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MS021392026";51693;"15461767000195";"FEDERACAO DAS INDUSTRIAS DO ESTADO DE MATO GROSSO SUL";"76000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS023462026";50875;"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A.";"10000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS054772026";51395;"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A.";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS065602026";355085;"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A.";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS089642026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MS077062026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MS095902026";354818;"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A.";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS062472026";52013;"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A.";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS068742026";51717;"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A.";"20000,00";"S";"#NULO#"
"01/09/2026";"05:46:44";2026;"MS076212026";355006;"03119724000147";"CORREIO DO ESTADO LTDA";"12500,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MS050572026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MS004902026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
