"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"MT002752026";354596;"50205074000132";"SISTEMA CORREIO DE COMUNICACAO LTDA / SISTEMA CORREIO DE COMUNICACAO LTDA";"30000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT022002026";51547;"10828250000178";"RONAN FERNANDES CICERO DE SA / EDICAO PUBLICIDADE";"7000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT024222026";354945;"40998753000152";"A. ROZANA DE OLIVEIRA MACHADO LTDA / BARRA PRODUCOES";"7000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT056752026";354621;"09446522000196";"EDINA RIBEIRO DE ARAUJO LTDA / MAIS COMUNICAO E MARKETING";"9500,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT022512026";354662;"32105564000185";"CBA TV ABERTA DE COMUNICACAO LTDA / O DOC COMUNICACAO";"29550,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT062322026";51354;"32105564000185";"CBA TV ABERTA DE COMUNICACAO LTDA / O DOC COMUNICACAO";"30000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT021572026";354986;"14750877000104";"SEDEK SERVICOS, TECNOLOGIA & INFORMACAO LTDA / SEDEK";"45000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT054642026";51355;"19213777000162";"XUZHOU KAT DO BRASIL IMPORTACAO DE MAQUINAS E TRATORES LTDA / KAT MAQUINAS LTDA";"72000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT041532026";52075;"54905852000157";"FPX BUSINESS ASSESSORIA E CONSULTORIA LTDA";"30,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT097882026";51939;"32105564000185";"CBA TV ABERTA DE COMUNICACAO LTDA / O DOC COMUNICACAO";"29550,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT024022026";355082;"40998753000152";"A. ROZANA DE OLIVEIRA MACHADO LTDA / BARRA PRODUCOES";"7000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT050422026";354756;"15671598000118";"RTV CIDADA SERVICO DE COMUNICACAO LTDA / REDE CIDADA SERVICOS DE COMUNICACAO";"19000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT045602026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT043902026";31700;"11100635000187";"MT DADOS ASSESSORIA E MARKETING LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT059252026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT037732026";46853;"45366955000103";"45.366.955 GLEDSON LOPES SANTIAGO";"7000,00";"S";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT073602026";355153;"55578750000137";"JOGO POLITICO NOTICIAS LTDA / JOGO POLITICO";"30000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT085842026";52192;"05460358000110";"R C DE OLIVEIRA PUBLICACOES LTDA / DIARIO DO ESTADO MT E RC PUBLICACOES";"7000,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT012852026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT023222026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT068462026";65650;"10544202000158";"PERCENT PESQUISA DE MERCADO E OPINIAO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT031542026";354886;"32105564000185";"CBA TV ABERTA DE COMUNICACAO LTDA / O DOC COMUNICACAO";"29550,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT048462026";355018;"12372735000125";"RADIO E TELEVISAO MATOGROSSENSE LTDA / TV CENTRO AMERICA OU REDE MATOGROSSENSE DE TELEVISAO";"104118,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT038332026";354969;"32105564000185";"CBA TV ABERTA DE COMUNICACAO LTDA / O DOC COMUNICACAO";"29550,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT065442026";52183;"10828250000178";"RONAN FERNANDES CICERO DE SA / EDICAO PUBLICIDADE";"7000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT016282026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT062412026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT090672026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT023932026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT000882026";354597;"46340190000197";"MCS COMUNICACOES LTDA / PAINEL DIARIO";"12000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"MT048792026";31700;"11100635000187";"MT DADOS ASSESSORIA E MARKETING LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT071562026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"MT017552026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
