"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"PA005402026";51632;"05725030000189";"FUNDACAO BARCARENA DE COMUNICACAO E ASSISTENCIA SOCIAL / FBCAS";"37553,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PA093052026";51166;"45246410000155";"BANCO GENIAL S.A.";"181155,18";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PA008282026";50423;"04218335000131";"DIARIOS DO PARA LTDA";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PA045482026";354639;"45246410000155";"BANCO GENIAL S.A.";"181155,11";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PA024412026";51819;"40488443000198";"GAZETA CARAJAS COMUNICACAO E PUBLICIDADE LTDA / GAZETA CARAJAS";"10000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PA088802026";52023;"05725030000189";"FUNDACAO BARCARENA DE COMUNICACAO E ASSISTENCIA SOCIAL / FBCAS";"50,00";"S";"#NULO#"
"01/09/2026";"05:46:44";2026;"PA073212026";1006;"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PA096742026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PA018452026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PA018572026";1006;"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA";"0,00";"N";"#NULO#"
