"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"PB098222026";354746;"51990064000118";"INTELIGENCIA.COM SERVICOS LTDA / FONTE 83";"6000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB019092026";354701;"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS";"21,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB043102026";355141;"35997380000165";"EM CIMA DA NOTICIA LTDA / EM CIMA DA NOTICIA";"30,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB041852026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB087962026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB069922026";5558;"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB044362026";5558;"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB088262026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB056032026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB039802026";5558;"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB066172026";44340;"08281136000129";"M J K TAMIYA LTDA / RTV CANAL 38";"7950,00";"S";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB066172026";44341;"08281136000129";"M J K TAMIYA LTDA / RTV CANAL 38";"7950,00";"S";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB066172026";44343;"08281136000129";"M J K TAMIYA LTDA / RTV CANAL 38";"7950,00";"S";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB092192026";354816;"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS";"5,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB055002026";50611;"52066952000101";"FONTE CZ SERVICOS DE INTERNET E COMUNICACAO LTDA / GRUPO FONTE";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB023572026";52091;"35997380000165";"EM CIMA DA NOTICIA LTDA / EM CIMA DA NOTICIA";"30000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB014022026";51998;"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS";"24,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB097462026";5558;"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB056122026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB055722026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB010282026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB087992026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB008662026";5558;"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB012882026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB099322026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB095472026";577390;"51772470000104";"INSTITUTO DATATRENDS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB077902026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB033332026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB078152026";582914;"13539940000103";"INDICE INTELIGENCIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB084442026";583095;"65258678000114";"M DE O DA COSTA AVANCY";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB049012026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB038622026";51600;"51990064000118";"INTELIGENCIA.COM SERVICOS LTDA / FONTE 83";"15000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB064352026";50367;"60865551000140";"OPINDATA INOVA SIMPLES (I.S.)";"10000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB001552026";50884;"10574821000195";"PB AGORA SERVICOS DE INTERNET E COMUNICACOES LTDA / PB AGORA";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB092182026";354834;"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS";"5,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB000572026";51692;"10574821000195";"PB AGORA SERVICOS DE INTERNET E COMUNICACOES LTDA / PB AGORA";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB010022026";5558;"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB068382026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB079552026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB025742026";578213;"51751580000190";"INSTITUTO RANKING DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB028072026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB013732026";578213;"51751580000190";"INSTITUTO RANKING DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB047222026";582914;"13539940000103";"INDICE INTELIGENCIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB006362026";582914;"13539940000103";"INDICE INTELIGENCIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB011182026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB064522026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB085792026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB098802026";5558;"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB038852026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB052802026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB083532026";354579;"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS";"5,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB045832026";50340;"10574821000195";"PB AGORA SERVICOS DE INTERNET E COMUNICACOES LTDA / PB AGORA";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB009442026";51694;"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS";"20000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB043512026";355036;"52066952000101";"FONTE CZ SERVICOS DE INTERNET E COMUNICACAO LTDA / GRUPO FONTE";"15000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB078502026";355039;"08584526000178";"TELEVISAO PARAIBA LTDA / TV PARAIBA";"48943,50";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB085252026";51537;"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS";"5000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB078502026";355037;"08843575000188";"TELEVISAO CABO BRANCO LTDA / TV CABO BRANCO";"48943,50";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PB037482026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB031122026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB093782026";582914;"13539940000103";"INDICE INTELIGENCIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB005922026";582914;"13539940000103";"INDICE INTELIGENCIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB066422026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB075092026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB095782026";577390;"51772470000104";"INSTITUTO DATATRENDS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB027412026";577390;"51772470000104";"INSTITUTO DATATRENDS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB023042026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB036122026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB047242026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB010682026";5558;"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB068682026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB031582026";5558;"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB042842026";578213;"51751580000190";"INSTITUTO RANKING DE PESQUISA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB036862026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB066392026";582573;"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PB003532026";578213;"51751580000190";"INSTITUTO RANKING DE PESQUISA LTDA";"0,00";"N";"#NULO#"
