"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"PR039532026";354913;"09570162000130";"INCO - EDITORA DIARIO INDUSTRIA E COMERCIO LTDA / INCO";"15000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR000152026";51291;"18826244000193";"REDE PARANA NOTICIAS LTDA / A REDE";"45000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR062542026";50758;"08517423000195";"PARTIDO LIBERAL (PL) / PARTIDO LIBERAL";"135050,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR074862026";354709;"09570162000130";"INCO - EDITORA DIARIO INDUSTRIA E COMERCIO LTDA / INCO";"15000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR003232026";51389;"08517423000195";"PARTIDO LIBERAL (PL) / PARTIDO LIBERAL";"135225,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR039102026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PR085702026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PR053882026";354996;"76494806000145";"SOCIEDADE RADIO EMISSORA PARANAENSE SA / TV PARANAENSE, REDE PARANAENSE";"104319,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR017542026";354922;"81912818000182";"EDITORA KARINA LTDA / EDITORA KARINA";"15000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR070342026";354789;"81912818000182";"EDITORA KARINA LTDA / EDITORA KARINA";"15000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR025882026";51200;"45246410000155";"BANCO GENIAL S.A.";"215479,57";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR021792026";355197;"79107918000194";"TV INDEPENDENCIA LTDA";"32000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR050322026";354983;"44060192000105";"RADIO TRANSAMERICA DE SAO PAULO LTDA";"50,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR069782026";51796;"08517423000195";"PARTIDO LIBERAL (PL) / PARTIDO LIBERAL";"135900,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR065592026";51021;"08517423000195";"PARTIDO LIBERAL (PL) / PARTIDO LIBERAL";"135025,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR018572026";354802;"44060192000105";"RADIO TRANSAMERICA DE SAO PAULO LTDA";"50,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR027372026";6317;"10175063000132";"IRG PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PR089922026";271500;"36938497000130";"INSTITUTO SONDA SERVICOS DE PESQUISA E PUBLICIDADE LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PR001052026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PR061782026";6317;"10175063000132";"IRG PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PR033992026";355179;"14750877000104";"SEDEK SERVICOS, TECNOLOGIA & INFORMACAO LTDA / SEDEK";"40000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR083182026";50343;"03622028000159";"FUTURA CONSULTORIA E ASSESSORIA LTDA / FUTURA";"64000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR084512026";50330;"00676213000138";"MOVIMENTO DEMOCRATICO BRASILEIRO - BRASIL - BR - NACIONAL / MDB";"70000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR013402026";50837;"45801710000159";"UNIAO BRASIL - PARANA - PR - ESTADUAL / UNIAO BRASIL - PARANA - PR - ESTADUAL";"45000,00";"S";"Fundo Partidário"
"01/09/2026";"05:46:44";2026;"PR054282026";354716;"00064742000180";"EDITORA CORREIO PARANAENSE LTDA";"72500,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR017372026";51958;"16619945000126";"FOLHA DO LITORAL NEWS LTDA / FOLHA DO LITORAL NEWS";"72000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR071492026";6317;"10175063000132";"IRG PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PR006542026";577790;"45613076000120";"INSTITUTO VOX BRASIL OPINIAO E PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PR069442026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PR016672026";51908;"07136697000171";"D'PONTA MIDIAS E CONSULTORIA LTDA / GRUPO D'PONTA";"27500,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR048182026";354631;"45246410000155";"BANCO GENIAL S.A.";"215479,58";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR044492026";355080;"08945050000153";"JORNAL O CORREIO DO POVO LTDA / JORNAL O CORREIO DO POVO";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR032422026";354828;"08945050000153";"JORNAL O CORREIO DO POVO LTDA / JORNAL O CORREIO DO POVO";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR031912026";354681;"76637305000170";"EDITORA BEM PARANA LTDA / JORNAL BEMPARANA";"32000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR090482026";354897;"08517423000195";"PARTIDO LIBERAL (PL) / PARTIDO LIBERAL";"135,20";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR093012026";354844;"79107918000194";"TV INDEPENDENCIA LTDA";"32000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR011662026";52043;"08517423000195";"PARTIDO LIBERAL (PL) / PARTIDO LIBERAL";"135900,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR029142026";354588;"08945050000153";"JORNAL O CORREIO DO POVO LTDA / JORNAL O CORREIO DO POVO";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"PR092622026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"PR096682026";577790;"45613076000120";"INSTITUTO VOX BRASIL OPINIAO E PESQUISAS LTDA";"0,00";"N";"#NULO#"
