"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"RJ006132026";51233;"45246410000155";"BANCO GENIAL S.A.";"205008,84";"S";"Outros"
"01/09/2026";"05:46:44";2026;"RJ017162026";51758;"24336010000160";"PORTAL DIARIO DO R I O REVISTA ELETRONICA LTDA / DIARIO DO RIO OU DIARIO DO RIO DE JANEIRO";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"RJ026712026";354636;"45246410000155";"BANCO GENIAL S.A.";"205008,84";"S";"Outros"
"01/09/2026";"05:46:44";2026;"RJ027932026";580371;"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ022092026";581752;"05270800000146";"GERP MERCADOLOGIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ099752026";580371;"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ056452026";5351;"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ045332026";580371;"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ042592026";5351;"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ069662026";580371;"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ060782026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ084192026";50426;"03622028000159";"FUTURA CONSULTORIA E ASSESSORIA LTDA / FUTURA";"80000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"RJ087482026";355030;"27865757000102";"GLOBO COMUNICACAO E PARTICIPACOES S/A / TV/REDE/GLOBO.COM/CANAIS GLOBO/GLOBOPLAY/ELETROMIDIA";"158844,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"RJ093032026";5351;"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ008412026";581752;"05270800000146";"GERP MERCADOLOGIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ094982026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ064002026";580371;"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ020022026";580371;"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RJ040672026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
