"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"RO031122026";52179;"19306841000150";"FRANCO & RODRIGUES COMUNICACAO SOCIAL  E EMPREENDIMENTOS LTDA / JORNAL CORREIO CONTINENTAL RO";"7550,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO056302026";51668;"07131381000197";"JACIMAR SERVICOS DE COMUNICACOES LTDA / ANTENA FM";"44000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"RO090682026";51029;"19306841000150";"FRANCO & RODRIGUES COMUNICACAO SOCIAL  E EMPREENDIMENTOS LTDA / JORNAL CORREIO CONTINENTAL RO";"8600,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO019702026";52008;"07131381000197";"JACIMAR SERVICOS DE COMUNICACOES LTDA / ANTENA FM";"44000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"RO003622026";133205;"23854801000110";"C. GOMES MARKETING";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO062532026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO067782026";5990;"44338241000110";"INSTITUTO NOVO PERFIL PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO004132026";1353;"19812752000185";"BRASIL DADOS INTELIGENCIA EM DADOS E SOLUCOES E PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO001822026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO057112026";355020;"04387825000161";"RADIO TV DO AMAZONAS LTDA / REDE AMAZONICA RADIO E TELEVISAO";"131253,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"RO033402026";51835;"19306841000150";"FRANCO & RODRIGUES COMUNICACAO SOCIAL  E EMPREENDIMENTOS LTDA / JORNAL CORREIO CONTINENTAL RO";"8500,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO067472026";354927;"44691365000185";"FREEMEDIA MARKETING DIGITAL LTDA / FREEMEDIA MARKETING DIGITAL";"11150,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO008282026";50228;"19306841000150";"FRANCO & RODRIGUES COMUNICACAO SOCIAL  E EMPREENDIMENTOS LTDA / JORNAL CORREIO CONTINENTAL RO";"6650,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO079272026";52010;"02104754000117";"PROGRESSISTAS RONDONIA RO ESTADUAL / PP-11 RONDONIA";"115000,00";"S";"Doações Eleitorais"
"01/09/2026";"05:46:44";2026;"RO026732026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO043502026";133205;"23854801000110";"C. GOMES MARKETING";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO020122026";50733;"19306841000150";"FRANCO & RODRIGUES COMUNICACAO SOCIAL  E EMPREENDIMENTOS LTDA / JORNAL CORREIO CONTINENTAL RO";"8250,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO058932026";1353;"19812752000185";"BRASIL DADOS INTELIGENCIA EM DADOS E SOLUCOES E PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO043692026";286502;"22345021000181";"REAL TIME MIDIA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO080192026";1353;"19812752000185";"BRASIL DADOS INTELIGENCIA EM DADOS E SOLUCOES E PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO036132026";1353;"19812752000185";"BRASIL DADOS INTELIGENCIA EM DADOS E SOLUCOES E PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO054542026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO011862026";5990;"44338241000110";"INSTITUTO NOVO PERFIL PESQUISAS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO051082026";133205;"23854801000110";"C. GOMES MARKETING";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"RO034032026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
