"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"VR_PAGO_CONTRATANTE";"ST_CONTRATANTE_PAGANTE";"DS_ORIGEM_RECURSO"
"01/09/2026";"05:46:44";2026;"SC017612026";51762;"03622028000159";"FUTURA CONSULTORIA E ASSESSORIA LTDA / FUTURA";"64000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC052322026";51888;"08945050000153";"JORNAL O CORREIO DO POVO LTDA / JORNAL O CORREIO DO POVO";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC052322026";51889;"08945050000153";"JORNAL O CORREIO DO POVO LTDA / JORNAL O CORREIO DO POVO";"25000,00";"S";"#NULO#"
"01/09/2026";"05:46:44";2026;"SC086072026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"SC031922026";29025;"07331137000178";"VISAO PESQUISAS DE OPINIAO LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"SC022492026";354593;"83191510000110";"RADIO CANOINHAS LTDA / JOVEM PAN FLORIPA 101,7 FM E JOVEM PAN NEWS 103,3 FM";"54000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC044552026";50885;"01797306000183";"RADIO CIDADE MAR AZUL FM LTDA";"10000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC021942026";354616;"08945050000153";"JORNAL O CORREIO DO POVO LTDA / JORNAL O CORREIO DO POVO";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC067402026";51356;"19213777000162";"XUZHOU KAT DO BRASIL IMPORTACAO DE MAQUINAS E TRATORES LTDA / KAT MAQUINAS LTDA";"102000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC079422026";51833;"83191510000110";"RADIO CANOINHAS LTDA / JOVEM PAN FLORIPA 101,7 FM E JOVEM PAN NEWS 103,3 FM";"54000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC099512026";52133;"48579864000136";"ASSOCIACAO CATARINENSE DE JORNAIS / ASSOCIACAO CATARINENSE DE JORNAIS";"55000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC027472026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"SC058462026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"SC005172026";354998;"79227963001235";"NC COMUNICACOES SA";"106329,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC028202026";51391;"08945050000153";"JORNAL O CORREIO DO POVO LTDA / JORNAL O CORREIO DO POVO";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC086942026";355050;"08945050000153";"JORNAL O CORREIO DO POVO LTDA / JORNAL O CORREIO DO POVO";"25000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC060752026";50770;"83191510000110";"RADIO CANOINHAS LTDA / JOVEM PAN FLORIPA 101,7 FM E JOVEM PAN NEWS 103,3 FM";"54000,00";"S";"Outros"
"01/09/2026";"05:46:44";2026;"SC052572026";101450;"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA";"0,00";"N";"#NULO#"
"01/09/2026";"05:46:44";2026;"SC041992026";215;"00654576000172";"INSTITUTO VERITA LTDA";"0,00";"N";"#NULO#"
