"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE"
"01/09/2026";"05:46:42";2026;"AL046082026";51993;"#NULO#";"02895028000160";"R B DANTAS LTDA / COAGRO"
"01/09/2026";"05:46:42";2026;"AL091062026";51552;"#NULO#";"01308052000192";"MOVIMENTO DEMOCRATICO BRASILEIRO - ALAGOAS - AL - ESTADUAL / MDB ALAGOAS"
"01/09/2026";"05:46:42";2026;"AL056112026";50710;"#NULO#";"09073777000150";"PLUS COMUNICACAO E SERVICOS LTDA"
"01/09/2026";"05:46:42";2026;"AL078642026";355145;"#NULO#";"01308052000192";"MOVIMENTO DEMOCRATICO BRASILEIRO - ALAGOAS - AL - ESTADUAL / MDB ALAGOAS"
"01/09/2026";"05:46:42";2026;"AL044912026";52007;"#NULO#";"12019360000114";"TV PAJUCARA LTDA"
"01/09/2026";"05:46:42";2026;"AL039742026";50339;"#NULO#";"02895028000160";"R B DANTAS LTDA / COAGRO"
"01/09/2026";"05:46:42";2026;"AL070312026";355232;"#NULO#";"18576524000190";"EXITO ESTRATEGIA LTDA / EXITO ESTRATEGIA"
"01/09/2026";"05:46:42";2026;"AL055032026";354992;"#NULO#";"02370536000124";"ELO COMUNICACAO LTDA / TELA, ATV E TVA"
"01/09/2026";"05:46:42";2026;"AL072862026";355047;"#NULO#";"37557837000146";"AGORA ALAGOAS COMUNICACAO - LTDA / PORTAL AGORA ALAGOAS"
"01/09/2026";"05:46:42";2026;"AL064882026";52159;"#NULO#";"11035380000116";"BARROS MELO COMUNICACAO LTDA / CADA MINUTO.COM"
"01/09/2026";"05:46:42";2026;"AL037392026";355091;"#NULO#";"11035380000116";"BARROS MELO COMUNICACAO LTDA / CADA MINUTO.COM"
"01/09/2026";"05:46:42";2026;"AL033162026";355131;"#NULO#";"12019360000114";"TV PAJUCARA LTDA"
"01/09/2026";"05:46:42";2026;"AL051212026";355198;"#NULO#";"37557837000146";"AGORA ALAGOAS COMUNICACAO - LTDA / PORTAL AGORA ALAGOAS"
"01/09/2026";"05:46:42";2026;"AL014602026";52061;"#NULO#";"57888576000316";"MACEIO FM RADIOS DIFUSORAS LTDA / JOVEM PAN NEWS"
"01/09/2026";"05:46:42";2026;"AL081232026";354611;"#NULO#";"01308052000192";"MOVIMENTO DEMOCRATICO BRASILEIRO - ALAGOAS - AL - ESTADUAL / MDB ALAGOAS"
"01/09/2026";"05:46:42";2026;"AL058612026";51818;"#NULO#";"57888576000316";"MACEIO FM RADIOS DIFUSORAS LTDA / JOVEM PAN NEWS"
"01/09/2026";"05:46:42";2026;"AL058942026";355146;"#NULO#";"50552811000173";"ALAGOAS SISTEMA DE COMUNICACAO LTDA / NOVA FM 92.5"
"01/09/2026";"05:46:42";2026;"AL048572026";52276;"#NULO#";"37557837000146";"AGORA ALAGOAS COMUNICACAO - LTDA / PORTAL AGORA ALAGOAS"
"01/09/2026";"05:46:42";2026;"AL076562026";355023;"#NULO#";"18576524000190";"EXITO ESTRATEGIA LTDA / EXITO ESTRATEGIA"
"01/09/2026";"05:46:42";2026;"AL027592026";51392;"#NULO#";"37557837000146";"AGORA ALAGOAS COMUNICACAO - LTDA / PORTAL AGORA ALAGOAS"
"01/09/2026";"05:46:42";2026;"AL013992026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"AL006982026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"AL050872026";577390;"#NULO#";"51772470000104";"INSTITUTO DATATRENDS LTDA"
"01/09/2026";"05:46:42";2026;"AL079562026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"AL034002026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"AL025192026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"AL092992026";577390;"#NULO#";"51772470000104";"INSTITUTO DATATRENDS LTDA"
