"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE"
"01/09/2026";"05:46:42";2026;"AP009852026";354882;"Recursos Próprios";"51247041000118";"TIMES BRASIL MEDIA LTDA"
"01/09/2026";"05:46:42";2026;"AP094382026";355034;"#NULO#";"04387825000161";"RADIO TV DO AMAZONAS LTDA / REDE AMAZONICA RADIO E TELEVISAO"
"01/09/2026";"05:46:42";2026;"AP026512026";354568;"#NULO#";"14750877000104";"SEDEK SERVICOS, TECNOLOGIA & INFORMACAO LTDA / SEDEK"
"01/09/2026";"05:46:42";2026;"AP000622026";355101;"#NULO#";"14750877000104";"SEDEK SERVICOS, TECNOLOGIA & INFORMACAO LTDA / SEDEK"
"01/09/2026";"05:46:42";2026;"AP008372026";50876;"#NULO#";"09542249000101";"ASSOCIACAO DOS MUNICIPIOS DO ESTADO DO AMAPA - AMEAP / AMEAP"
"01/09/2026";"05:46:42";2026;"AP076302026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"AP007672026";5351;"#NULO#";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA"
"01/09/2026";"05:46:42";2026;"AP023232026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"AP059262026";580693;"#NULO#";"52182942000131";"TOP COMERCIOS E SERVICOS LTDA"
"01/09/2026";"05:46:42";2026;"AP065952026";101450;"#NULO#";"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA"
"01/09/2026";"05:46:42";2026;"AP053822026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"AP098152026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"AP046612026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"AP021832026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"AP062932026";580693;"#NULO#";"52182942000131";"TOP COMERCIOS E SERVICOS LTDA"
"01/09/2026";"05:46:42";2026;"AP031702026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"AP021752026";5351;"#NULO#";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA"
"01/09/2026";"05:46:42";2026;"AP037742026";580693;"#NULO#";"52182942000131";"TOP COMERCIOS E SERVICOS LTDA"
"01/09/2026";"05:46:42";2026;"AP076182026";1006;"#NULO#";"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA"
"01/09/2026";"05:46:42";2026;"AP059062026";581752;"#NULO#";"05270800000146";"GERP MERCADOLOGIA LTDA"
"01/09/2026";"05:46:42";2026;"AP029702026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
