"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE"
"01/09/2026";"05:46:42";2026;"CE023572026";355178;"#NULO#";"28796897000120";"FOCUS COMUNICACAO E MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"CE017252026";51311;"#NULO#";"45246410000155";"BANCO GENIAL S.A."
"01/09/2026";"05:46:42";2026;"CE041222026";355175;"#NULO#";"07222565000162";"EMPRESA JORNALISTICA O POVO S A / JORNAL O POVO"
"01/09/2026";"05:46:42";2026;"CE093302026";51599;"#NULO#";"45114358000183";"OPINIAOCE COMUNICACAO LTDA / OPINIAOCE"
"01/09/2026";"05:46:42";2026;"CE042922026";354841;"#NULO#";"07222565000162";"EMPRESA JORNALISTICA O POVO S A / JORNAL O POVO"
"01/09/2026";"05:46:42";2026;"CE011492026";355194;"#NULO#";"07199664000170";"TELEVISAO VERDES MARES LTDA"
"01/09/2026";"05:46:42";2026;"CE057392026";354645;"#NULO#";"35008325000103";"RADIO COSTA DO SOL LTDA"
"01/09/2026";"05:46:42";2026;"CE051392026";50328;"#NULO#";"40950269000153";"DON7 MEDIA LTDA / DON7 MEDIA"
"01/09/2026";"05:46:42";2026;"CE027772026";354825;"#NULO#";"28796897000120";"FOCUS COMUNICACAO E MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"CE075612026";51287;"#NULO#";"19213777000162";"XUZHOU KAT DO BRASIL IMPORTACAO DE MAQUINAS E TRATORES LTDA / KAT MAQUINAS LTDA"
"01/09/2026";"05:46:42";2026;"CE016682026";51011;"#NULO#";"29448837000180";"TELEFOX AGENCIA DE NOTICIAS E TELECOMUNICACOES LTDA / GRUPO TELEFOX E EDITORA DE COMUNICACOES"
"01/09/2026";"05:46:42";2026;"CE022742026";50933;"#NULO#";"35008325000103";"RADIO COSTA DO SOL LTDA"
"01/09/2026";"05:46:42";2026;"CE001952026";354909;"#NULO#";"35008325000103";"RADIO COSTA DO SOL LTDA"
"01/09/2026";"05:46:42";2026;"CE079252026";50880;"#NULO#";"07222565000162";"EMPRESA JORNALISTICA O POVO S A / JORNAL O POVO"
"01/09/2026";"05:46:42";2026;"CE054592026";51000;"#NULO#";"45114358000183";"OPINIAOCE COMUNICACAO LTDA / OPINIAOCE"
"01/09/2026";"05:46:42";2026;"CE010282026";50528;"#NULO#";"53400956000147";"INSTITUTO OPINIAO DE GESTAO E PESQUISAS LTDA / INSTITUTO OPINIAO"
"01/09/2026";"05:46:42";2026;"CE054592026";51001;"#NULO#";"45114358000183";"OPINIAOCE COMUNICACAO LTDA / OPINIAOCE"
"01/09/2026";"05:46:42";2026;"CE001512026";50926;"#NULO#";"40950269000153";"DON7 MEDIA LTDA / DON7 MEDIA"
"01/09/2026";"05:46:42";2026;"CE048282026";51659;"#NULO#";"35008325000103";"RADIO COSTA DO SOL LTDA"
"01/09/2026";"05:46:42";2026;"CE084782026";50711;"#NULO#";"40950269000153";"DON7 MEDIA LTDA / DON7 MEDIA"
"01/09/2026";"05:46:42";2026;"CE075502026";50839;"#NULO#";"52530019000143";"REDE INTEGRADA DE COMUNICACAO ANC LTDA / REDE ANC"
"01/09/2026";"05:46:42";2026;"CE092772026";354698;"#NULO#";"45246410000155";"BANCO GENIAL S.A."
"01/09/2026";"05:46:42";2026;"CE004182026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"CE035062026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"CE099712026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"CE056822026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"CE082232026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"CE034652026";101450;"#NULO#";"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA"
"01/09/2026";"05:46:42";2026;"CE040072026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"CE076452026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"CE064772026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"CE080262026";577390;"#NULO#";"51772470000104";"INSTITUTO DATATRENDS LTDA"
"01/09/2026";"05:46:42";2026;"CE079352026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"CE088762026";101450;"#NULO#";"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA"
