"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE"
"01/09/2026";"05:46:42";2026;"ES028592026";355134;"#NULO#";"23895081000130";"BDC COMUNICACOES LTDA"
"01/09/2026";"05:46:42";2026;"ES002462026";51801;"Recursos Próprios";"23895081000130";"BDC COMUNICACOES LTDA"
"01/09/2026";"05:46:42";2026;"ES041432026";51083;"Recursos Próprios";"23895081000130";"BDC COMUNICACOES LTDA"
"01/09/2026";"05:46:42";2026;"ES031762026";51275;"#NULO#";"27063726000120";"A GAZETA DO ESPIRITO SANTO RADIO E TV LTDA / TV GAZETA"
"01/09/2026";"05:46:42";2026;"ES044442026";355066;"#NULO#";"27063726000120";"A GAZETA DO ESPIRITO SANTO RADIO E TV LTDA / TV GAZETA"
"01/09/2026";"05:46:42";2026;"ES053362026";51476;"Recursos Próprios";"23895081000130";"BDC COMUNICACOES LTDA"
"01/09/2026";"05:46:42";2026;"ES076032026";50916;"#NULO#";"27060433000199";"OCB/ES-SIND E ORG DAS COOPERATIVAS BRASILEIRAS DO EST DO ES"
"01/09/2026";"05:46:42";2026;"ES070932026";52165;"#NULO#";"23895081000130";"BDC COMUNICACOES LTDA"
"01/09/2026";"05:46:42";2026;"ES089122026";354725;"#NULO#";"28504695000168";"BRAND CONSULTORIA E GESTAO LTDA"
"01/09/2026";"05:46:42";2026;"ES097282026";50971;"#NULO#";"17247933000180";"SA ESTADO DE MINAS"
"01/09/2026";"05:46:42";2026;"ES025302026";5351;"#NULO#";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA"
"01/09/2026";"05:46:42";2026;"ES016792026";5508;"#NULO#";"10175843000182";"INSTITUTO DE PESQUISAS PERFIL LTDA"
"01/09/2026";"05:46:42";2026;"ES066982026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"ES044822026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"ES067222026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"ES084692026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"ES055882026";5351;"#NULO#";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA"
"01/09/2026";"05:46:42";2026;"ES090492026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"ES050962026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"ES073152026";32550;"#NULO#";"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA"
"01/09/2026";"05:46:42";2026;"ES068392026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"ES051812026";5508;"#NULO#";"10175843000182";"INSTITUTO DE PESQUISAS PERFIL LTDA"
"01/09/2026";"05:46:42";2026;"ES008242026";32550;"#NULO#";"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA"
"01/09/2026";"05:46:42";2026;"ES003682026";32550;"#NULO#";"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA"
"01/09/2026";"05:46:42";2026;"ES074852026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"ES060022026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"ES002062026";101450;"#NULO#";"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA"
"01/09/2026";"05:46:42";2026;"ES072112026";52135;"#NULO#";"27063726000120";"A GAZETA DO ESPIRITO SANTO RADIO E TV LTDA / TV GAZETA"
