"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE"
"01/09/2026";"05:46:42";2026;"MS086442026";50757;"Recursos Próprios";"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A."
"01/09/2026";"05:46:42";2026;"MS090262026";50999;"#NULO#";"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A."
"01/09/2026";"05:46:42";2026;"MS068202026";51795;"#NULO#";"12593551000195";"DRCOSTA'S JORNALISMO LTDA / JORNAL DE DOMINGO MS"
"01/09/2026";"05:46:42";2026;"MS038392026";51630;"#NULO#";"07364083000147";"CAMPO GRANDE NOTICIAS LTDA / CAMPO GRANDE NEWS LTDA"
"01/09/2026";"05:46:42";2026;"MS016682026";50973;"#NULO#";"07364083000147";"CAMPO GRANDE NOTICIAS LTDA / CAMPO GRANDE NEWS LTDA"
"01/09/2026";"05:46:42";2026;"MS023462026";50875;"#NULO#";"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A."
"01/09/2026";"05:46:42";2026;"MS076212026";355006;"#NULO#";"03119724000147";"CORREIO DO ESTADO LTDA"
"01/09/2026";"05:46:42";2026;"MS021392026";51693;"#NULO#";"15461767000195";"FEDERACAO DAS INDUSTRIAS DO ESTADO DE MATO GROSSO SUL"
"01/09/2026";"05:46:42";2026;"MS083172026";354601;"#NULO#";"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A."
"01/09/2026";"05:46:42";2026;"MS095902026";354818;"#NULO#";"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A."
"01/09/2026";"05:46:42";2026;"MS088892026";50781;"#NULO#";"03119724000147";"CORREIO DO ESTADO LTDA"
"01/09/2026";"05:46:42";2026;"MS023552026";51843;"#NULO#";"03119724000147";"CORREIO DO ESTADO LTDA"
"01/09/2026";"05:46:42";2026;"MS063192026";51330;"#NULO#";"03119724000147";"CORREIO DO ESTADO LTDA"
"01/09/2026";"05:46:42";2026;"MS068742026";51717;"#NULO#";"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A."
"01/09/2026";"05:46:42";2026;"MS054772026";51395;"#NULO#";"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A."
"01/09/2026";"05:46:42";2026;"MS059582026";354585;"#NULO#";"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A."
"01/09/2026";"05:46:42";2026;"MS071902026";354704;"#NULO#";"07364083000147";"CAMPO GRANDE NOTICIAS LTDA / CAMPO GRANDE NEWS LTDA"
"01/09/2026";"05:46:42";2026;"MS062472026";52013;"#NULO#";"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A."
"01/09/2026";"05:46:42";2026;"MS064172026";50421;"#NULO#";"03955300000112";"RADIO FM D A LTDA / RADIO FM CAARAPO"
"01/09/2026";"05:46:42";2026;"MS007932026";355014;"#NULO#";"24612251000195";"TELEVISAO PONTA PORA LTDA / TV MORENA"
"01/09/2026";"05:46:42";2026;"MS065602026";355085;"#NULO#";"03955300000201";"RADIO FM D A LTDA / RADIO FM D.A."
"01/09/2026";"05:46:42";2026;"MS020472026";101450;"#NULO#";"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA"
"01/09/2026";"05:46:42";2026;"MS089642026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"MS077062026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"MS026592026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"MS064122026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"MS052192026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"MS050572026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"MS030772026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"MS004902026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
