"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE"
"01/09/2026";"05:46:42";2026;"PA027772026";51437;"#NULO#";"52089253000187";"DDD91 LTDA / DDD91"
"01/09/2026";"05:46:42";2026;"PA051782026";355202;"#NULO#";"13901380000187";"PROCEDE PUBLICIDADE E PROPAGANDA LTDA / PROCEDE PUBLICIDADE E PROPAGANDA"
"01/09/2026";"05:46:42";2026;"PA051632026";51302;"#NULO#";"05725030000189";"FUNDACAO BARCARENA DE COMUNICACAO E ASSISTENCIA SOCIAL / FBCAS"
"01/09/2026";"05:46:42";2026;"PA011792026";355003;"#NULO#";"24498758000160";"A R CAMPOS DE SOUZA / BLOG DO JK"
"01/09/2026";"05:46:42";2026;"PA088802026";52023;"#NULO#";"05725030000189";"FUNDACAO BARCARENA DE COMUNICACAO E ASSISTENCIA SOCIAL / FBCAS"
"01/09/2026";"05:46:42";2026;"PA037982026";51413;"#NULO#";"24498758000160";"A R CAMPOS DE SOUZA / BLOG DO JK"
"01/09/2026";"05:46:42";2026;"PA039512026";52093;"#NULO#";"24498758000160";"A R CAMPOS DE SOUZA / BLOG DO JK"
"01/09/2026";"05:46:42";2026;"PA093052026";51166;"#NULO#";"45246410000155";"BANCO GENIAL S.A."
"01/09/2026";"05:46:42";2026;"PA057982026";51502;"#NULO#";"05725030000189";"FUNDACAO BARCARENA DE COMUNICACAO E ASSISTENCIA SOCIAL / FBCAS"
"01/09/2026";"05:46:42";2026;"PA045332026";354924;"#NULO#";"04869202000125";"FEDERACAO DAS ASSOCIACOES COMERCIAIS E EMPRESARIAIS DO PARA - FACIAPA"
"01/09/2026";"05:46:42";2026;"PA054132026";355127;"#NULO#";"52089253000187";"DDD91 LTDA / DDD91"
"01/09/2026";"05:46:42";2026;"PA006362026";355077;"#NULO#";"03622028000159";"FUTURA CONSULTORIA E ASSESSORIA LTDA / FUTURA"
"01/09/2026";"05:46:42";2026;"PA008992026";51026;"#NULO#";"52089253000187";"DDD91 LTDA / DDD91"
"01/09/2026";"05:46:42";2026;"PA024412026";51819;"#NULO#";"40488443000198";"GAZETA CARAJAS COMUNICACAO E PUBLICIDADE LTDA / GAZETA CARAJAS"
"01/09/2026";"05:46:42";2026;"PA060472026";354890;"#NULO#";"48459183000134";"J. C. EVENTOS LTDA / JC MULTIMIDIA"
"01/09/2026";"05:46:42";2026;"PA045482026";354639;"#NULO#";"45246410000155";"BANCO GENIAL S.A."
"01/09/2026";"05:46:42";2026;"PA051632026";51280;"#NULO#";"05725030000189";"FUNDACAO BARCARENA DE COMUNICACAO E ASSISTENCIA SOCIAL / FBCAS"
"01/09/2026";"05:46:42";2026;"PA077342026";51978;"#NULO#";"52089253000187";"DDD91 LTDA / DDD91"
"01/09/2026";"05:46:42";2026;"PA051632026";51303;"#NULO#";"05725030000189";"FUNDACAO BARCARENA DE COMUNICACAO E ASSISTENCIA SOCIAL / FBCAS"
"01/09/2026";"05:46:42";2026;"PA056642026";354973;"#NULO#";"05725030000189";"FUNDACAO BARCARENA DE COMUNICACAO E ASSISTENCIA SOCIAL / FBCAS"
"01/09/2026";"05:46:42";2026;"PA064302026";51836;"#NULO#";"52089253000187";"DDD91 LTDA / DDD91"
"01/09/2026";"05:46:42";2026;"PA077182026";355098;"#NULO#";"04832721000119";"TELEVISAO LIBERAL SA / TELEVISAO LIBERAL"
"01/09/2026";"05:46:42";2026;"PA027892026";51910;"#NULO#";"53730013000182";"RM REPRESENTACOES COMERCIAIS SERVICOS E COMERCIOS LTDA / R & M SOLUCOES E CONSULTORIAS"
"01/09/2026";"05:46:42";2026;"PA038002026";51390;"#NULO#";"52089253000187";"DDD91 LTDA / DDD91"
"01/09/2026";"05:46:42";2026;"PA005402026";51632;"#NULO#";"05725030000189";"FUNDACAO BARCARENA DE COMUNICACAO E ASSISTENCIA SOCIAL / FBCAS"
"01/09/2026";"05:46:42";2026;"PA008282026";50423;"#NULO#";"04218335000131";"DIARIOS DO PARA LTDA"
"01/09/2026";"05:46:42";2026;"PA073212026";1006;"#NULO#";"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA"
"01/09/2026";"05:46:42";2026;"PA096742026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"PA018452026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"PA018572026";1006;"#NULO#";"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA"
"01/09/2026";"05:46:42";2026;"PA038302026";1006;"#NULO#";"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA"
"01/09/2026";"05:46:42";2026;"PA025492026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"PA060562026";1006;"#NULO#";"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA"
"01/09/2026";"05:46:42";2026;"PA030722026";5351;"#NULO#";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA"
"01/09/2026";"05:46:42";2026;"PA041672026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"PA019622026";1006;"#NULO#";"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA"
"01/09/2026";"05:46:42";2026;"PA037252026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"PA033352026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"PA079652026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"PA087282026";137400;"#NULO#";"02070887000110";"SIMETRIA CONSULTORIA E PESQUISA LTDA"
"01/09/2026";"05:46:42";2026;"PA069642026";1006;"#NULO#";"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA"
"01/09/2026";"05:46:42";2026;"PA012722026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"PA038782026";1006;"#NULO#";"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA"
"01/09/2026";"05:46:42";2026;"PA056232026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"PA073152026";1006;"#NULO#";"07317438000147";"DOXA ARTE & COMUNICAO S/S LTDA"
"01/09/2026";"05:46:42";2026;"PA084922026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"PA040892026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
