"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE"
"01/09/2026";"05:46:42";2026;"PB000572026";51692;"#NULO#";"10574821000195";"PB AGORA SERVICOS DE INTERNET E COMUNICACOES LTDA / PB AGORA"
"01/09/2026";"05:46:42";2026;"PB064352026";50367;"#NULO#";"60865551000140";"OPINDATA INOVA SIMPLES (I.S.)"
"01/09/2026";"05:46:42";2026;"PB092182026";354834;"#NULO#";"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS"
"01/09/2026";"05:46:42";2026;"PB014022026";51998;"#NULO#";"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS"
"01/09/2026";"05:46:42";2026;"PB066172026";44341;"#NULO#";"08281136000129";"M J K TAMIYA LTDA / RTV CANAL 38"
"01/09/2026";"05:46:42";2026;"PB019092026";354701;"#NULO#";"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS"
"01/09/2026";"05:46:42";2026;"PB078502026";355037;"#NULO#";"08843575000188";"TELEVISAO CABO BRANCO LTDA / TV CABO BRANCO"
"01/09/2026";"05:46:42";2026;"PB043102026";355141;"#NULO#";"35997380000165";"EM CIMA DA NOTICIA LTDA / EM CIMA DA NOTICIA"
"01/09/2026";"05:46:42";2026;"PB066172026";44343;"#NULO#";"08281136000129";"M J K TAMIYA LTDA / RTV CANAL 38"
"01/09/2026";"05:46:42";2026;"PB038622026";51600;"#NULO#";"51990064000118";"INTELIGENCIA.COM SERVICOS LTDA / FONTE 83"
"01/09/2026";"05:46:42";2026;"PB023572026";52091;"#NULO#";"35997380000165";"EM CIMA DA NOTICIA LTDA / EM CIMA DA NOTICIA"
"01/09/2026";"05:46:42";2026;"PB083532026";354579;"#NULO#";"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS"
"01/09/2026";"05:46:42";2026;"PB055002026";50611;"#NULO#";"52066952000101";"FONTE CZ SERVICOS DE INTERNET E COMUNICACAO LTDA / GRUPO FONTE"
"01/09/2026";"05:46:42";2026;"PB098222026";354746;"#NULO#";"51990064000118";"INTELIGENCIA.COM SERVICOS LTDA / FONTE 83"
"01/09/2026";"05:46:42";2026;"PB078502026";355039;"#NULO#";"08584526000178";"TELEVISAO PARAIBA LTDA / TV PARAIBA"
"01/09/2026";"05:46:42";2026;"PB066172026";44340;"#NULO#";"08281136000129";"M J K TAMIYA LTDA / RTV CANAL 38"
"01/09/2026";"05:46:42";2026;"PB092192026";354816;"#NULO#";"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS"
"01/09/2026";"05:46:42";2026;"PB085252026";51537;"#NULO#";"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS"
"01/09/2026";"05:46:42";2026;"PB043512026";355036;"#NULO#";"52066952000101";"FONTE CZ SERVICOS DE INTERNET E COMUNICACAO LTDA / GRUPO FONTE"
"01/09/2026";"05:46:42";2026;"PB009442026";51694;"#NULO#";"22478913000150";"AY SERVICO DE AGENCIAMENTO E PORTAL DE NOTICIAS LTDA / AY MULTIMIDIAS"
"01/09/2026";"05:46:42";2026;"PB001552026";50884;"#NULO#";"10574821000195";"PB AGORA SERVICOS DE INTERNET E COMUNICACOES LTDA / PB AGORA"
"01/09/2026";"05:46:42";2026;"PB041852026";582573;"#NULO#";"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA"
"01/09/2026";"05:46:42";2026;"PB087962026";582573;"#NULO#";"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA"
"01/09/2026";"05:46:42";2026;"PB069922026";5558;"#NULO#";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA"
"01/09/2026";"05:46:42";2026;"PB010022026";5558;"#NULO#";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA"
"01/09/2026";"05:46:42";2026;"PB068382026";582573;"#NULO#";"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA"
"01/09/2026";"05:46:42";2026;"PB079552026";582573;"#NULO#";"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA"
"01/09/2026";"05:46:42";2026;"PB025742026";578213;"#NULO#";"51751580000190";"INSTITUTO RANKING DE PESQUISA LTDA"
"01/09/2026";"05:46:42";2026;"PB097462026";5558;"#NULO#";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA"
"01/09/2026";"05:46:42";2026;"PB044362026";5558;"#NULO#";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA"
"01/09/2026";"05:46:42";2026;"PB088262026";582573;"#NULO#";"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA"
"01/09/2026";"05:46:42";2026;"PB056032026";582573;"#NULO#";"62695016000113";"INSTITUTO DE PESQUISA DE GESTAO E POLITICA PARAIBANO LTDA"
"01/09/2026";"05:46:42";2026;"PB039802026";5558;"#NULO#";"10783981000144";"SETA INSTITUTO DE PESQUISA LTDA"
"01/09/2026";"05:46:42";2026;"PB037482026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
