"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE"
"01/09/2026";"05:46:42";2026;"PR029142026";354588;"#NULO#";"08945050000153";"JORNAL O CORREIO DO POVO LTDA / JORNAL O CORREIO DO POVO"
"01/09/2026";"05:46:42";2026;"PR070342026";354789;"#NULO#";"81912818000182";"EDITORA KARINA LTDA / EDITORA KARINA"
"01/09/2026";"05:46:42";2026;"PR083182026";50343;"#NULO#";"03622028000159";"FUTURA CONSULTORIA E ASSESSORIA LTDA / FUTURA"
"01/09/2026";"05:46:42";2026;"PR053882026";354996;"#NULO#";"76494806000145";"SOCIEDADE RADIO EMISSORA PARANAENSE SA / TV PARANAENSE, REDE PARANAENSE"
"01/09/2026";"05:46:42";2026;"PR017542026";354922;"#NULO#";"81912818000182";"EDITORA KARINA LTDA / EDITORA KARINA"
"01/09/2026";"05:46:42";2026;"PR025882026";51200;"#NULO#";"45246410000155";"BANCO GENIAL S.A."
"01/09/2026";"05:46:42";2026;"PR039532026";354913;"#NULO#";"09570162000130";"INCO - EDITORA DIARIO INDUSTRIA E COMERCIO LTDA / INCO"
"01/09/2026";"05:46:42";2026;"PR054282026";354716;"#NULO#";"00064742000180";"EDITORA CORREIO PARANAENSE LTDA"
"01/09/2026";"05:46:42";2026;"PR093012026";354844;"#NULO#";"79107918000194";"TV INDEPENDENCIA LTDA"
"01/09/2026";"05:46:42";2026;"PR032422026";354828;"#NULO#";"08945050000153";"JORNAL O CORREIO DO POVO LTDA / JORNAL O CORREIO DO POVO"
"01/09/2026";"05:46:42";2026;"PR074862026";354709;"#NULO#";"09570162000130";"INCO - EDITORA DIARIO INDUSTRIA E COMERCIO LTDA / INCO"
"01/09/2026";"05:46:42";2026;"PR050322026";354983;"#NULO#";"44060192000105";"RADIO TRANSAMERICA DE SAO PAULO LTDA"
"01/09/2026";"05:46:42";2026;"PR011662026";52043;"#NULO#";"08517423000195";"PARTIDO LIBERAL (PL) / PARTIDO LIBERAL"
"01/09/2026";"05:46:42";2026;"PR033992026";355179;"#NULO#";"14750877000104";"SEDEK SERVICOS, TECNOLOGIA & INFORMACAO LTDA / SEDEK"
"01/09/2026";"05:46:42";2026;"PR018572026";354802;"#NULO#";"44060192000105";"RADIO TRANSAMERICA DE SAO PAULO LTDA"
"01/09/2026";"05:46:42";2026;"PR016672026";51908;"#NULO#";"07136697000171";"D'PONTA MIDIAS E CONSULTORIA LTDA / GRUPO D'PONTA"
"01/09/2026";"05:46:42";2026;"PR044492026";355080;"#NULO#";"08945050000153";"JORNAL O CORREIO DO POVO LTDA / JORNAL O CORREIO DO POVO"
"01/09/2026";"05:46:42";2026;"PR048182026";354631;"#NULO#";"45246410000155";"BANCO GENIAL S.A."
