"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE"
"01/09/2026";"05:46:42";2026;"RJ026712026";354636;"#NULO#";"45246410000155";"BANCO GENIAL S.A."
"01/09/2026";"05:46:42";2026;"RJ046052026";355038;"#NULO#";"24336010000160";"PORTAL DIARIO DO R I O REVISTA ELETRONICA LTDA / DIARIO DO RIO OU DIARIO DO RIO DE JANEIRO"
"01/09/2026";"05:46:42";2026;"RJ017162026";51758;"#NULO#";"24336010000160";"PORTAL DIARIO DO R I O REVISTA ELETRONICA LTDA / DIARIO DO RIO OU DIARIO DO RIO DE JANEIRO"
"01/09/2026";"05:46:42";2026;"RJ029452026";354938;"#NULO#";"60579703000148";"EMPRESA FOLHA DA MANHA S.A."
"01/09/2026";"05:46:42";2026;"RJ087482026";355030;"#NULO#";"27865757000102";"GLOBO COMUNICACAO E PARTICIPACOES S/A / TV/REDE/GLOBO.COM/CANAIS GLOBO/GLOBOPLAY/ELETROMIDIA"
"01/09/2026";"05:46:42";2026;"RJ084192026";50426;"#NULO#";"03622028000159";"FUTURA CONSULTORIA E ASSESSORIA LTDA / FUTURA"
"01/09/2026";"05:46:42";2026;"RJ004372026";50570;"#NULO#";"24336010000160";"PORTAL DIARIO DO R I O REVISTA ELETRONICA LTDA / DIARIO DO RIO OU DIARIO DO RIO DE JANEIRO"
"01/09/2026";"05:46:42";2026;"RJ024432026";51210;"#NULO#";"24336010000160";"PORTAL DIARIO DO R I O REVISTA ELETRONICA LTDA / DIARIO DO RIO OU DIARIO DO RIO DE JANEIRO"
"01/09/2026";"05:46:42";2026;"RJ029452026";354939;"#NULO#";"27865757000102";"GLOBO COMUNICACAO E PARTICIPACOES S/A / TV/REDE/GLOBO.COM/CANAIS GLOBO/GLOBOPLAY/ELETROMIDIA"
"01/09/2026";"05:46:42";2026;"RJ076612026";51044;"#NULO#";"08810753000174";"PROGRESSISTAS-RIO DE JANEIRO-RJ-ESTADUAL"
"01/09/2026";"05:46:42";2026;"RJ015962026";50914;"#NULO#";"33216797000118";"EDITORA O DIA LTDA EM RECUPERACAO JUDICIAL"
"01/09/2026";"05:46:42";2026;"RJ027702026";354740;"#NULO#";"24336010000160";"PORTAL DIARIO DO R I O REVISTA ELETRONICA LTDA / DIARIO DO RIO OU DIARIO DO RIO DE JANEIRO"
"01/09/2026";"05:46:42";2026;"RJ006132026";51233;"#NULO#";"45246410000155";"BANCO GENIAL S.A."
"01/09/2026";"05:46:42";2026;"RJ065802026";354895;"#NULO#";"44550792000143";"RJ COMUNICACAO E GESTAO LTDA / RJINTERIOR COMUNICACAO"
"01/09/2026";"05:46:42";2026;"RJ056812026";52016;"#NULO#";"07959911000190";"REPUBLICANOS - RIO DE JANEIRO - RJ - ESTADUAL / REPUBLICANOS/RJ"
"01/09/2026";"05:46:42";2026;"RJ015962026";50915;"#NULO#";"33216797000118";"EDITORA O DIA LTDA EM RECUPERACAO JUDICIAL"
"01/09/2026";"05:46:42";2026;"RJ027932026";580371;"#NULO#";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA"
"01/09/2026";"05:46:42";2026;"RJ022092026";581752;"#NULO#";"05270800000146";"GERP MERCADOLOGIA LTDA"
"01/09/2026";"05:46:42";2026;"RJ099752026";580371;"#NULO#";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA"
"01/09/2026";"05:46:42";2026;"RJ022852026";580371;"#NULO#";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA"
"01/09/2026";"05:46:42";2026;"RJ093032026";5351;"#NULO#";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA"
"01/09/2026";"05:46:42";2026;"RJ008412026";581752;"#NULO#";"05270800000146";"GERP MERCADOLOGIA LTDA"
"01/09/2026";"05:46:42";2026;"RJ056452026";5351;"#NULO#";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA"
"01/09/2026";"05:46:42";2026;"RJ045332026";580371;"#NULO#";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA"
"01/09/2026";"05:46:42";2026;"RJ042592026";5351;"#NULO#";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA"
"01/09/2026";"05:46:42";2026;"RJ069662026";580371;"#NULO#";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA"
"01/09/2026";"05:46:42";2026;"RJ060782026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"RJ099572026";580371;"#NULO#";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA"
"01/09/2026";"05:46:42";2026;"RJ006302026";580371;"#NULO#";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA"
"01/09/2026";"05:46:42";2026;"RJ083502026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"RJ094982026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"RJ064002026";580371;"#NULO#";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA"
"01/09/2026";"05:46:42";2026;"RJ020022026";580371;"#NULO#";"55686336000141";"VETOR ARROW INSTITUTO DE PESQUISA E OPINIAO LTDA"
"01/09/2026";"05:46:42";2026;"RJ040672026";101450;"#NULO#";"19259002000128";"ATLASINTEL TECNOLOGIA DE DADOS LTDA"
"01/09/2026";"05:46:42";2026;"RJ049972026";5351;"#NULO#";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA"
