"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_PROTOCOLO_REGISTRO";"CD_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE"
"01/09/2026";"05:46:42";2026;"SE055992026";51076;"#NULO#";"13079397000109";"TELEVISAO ATALAIA LTDA / TV ATALAIA"
"01/09/2026";"05:46:42";2026;"SE024612026";354762;"#NULO#";"36710632000196";"FABRICA PRODUCOES CROSSMEDIA LTDA / FABRICA CROSSMEDIA"
"01/09/2026";"05:46:42";2026;"SE053172026";52048;"#NULO#";"10573859000143";"MARTINS, PRODUCOES E PUBLICIDADE LTDA / MARTINS PRODUCOES"
"01/09/2026";"05:46:42";2026;"SE026822026";354878;"#NULO#";"39966766000160";"REDE RIO FM LTDA / REDE RIO FM"
"01/09/2026";"05:46:42";2026;"SE019522026";354627;"#NULO#";"13026547000108";"RADIO ATALAIA DE SERGIPE LTDA / RADIO ATALAIA"
"01/09/2026";"05:46:42";2026;"SE071412026";51357;"#NULO#";"28549086000125";"REDE XODO DE COMUNICACAO SOCORRO LTDA / XODO FM"
"01/09/2026";"05:46:42";2026;"SE065052026";51732;"#NULO#";"39966766000160";"REDE RIO FM LTDA / REDE RIO FM"
"01/09/2026";"05:46:42";2026;"SE076392026";355188;"#NULO#";"39966766000160";"REDE RIO FM LTDA / REDE RIO FM"
"01/09/2026";"05:46:42";2026;"SE007832026";355086;"#NULO#";"45243779000104";"M M CONSULTORIA, GESTAO E PRODUCAO DE EVENTOS LTDA"
"01/09/2026";"05:46:42";2026;"SE037422026";51891;"#NULO#";"10573859000143";"MARTINS, PRODUCOES E PUBLICIDADE LTDA / MARTINS PRODUCOES"
"01/09/2026";"05:46:42";2026;"SE007542026";51293;"#NULO#";"19857035000170";"AEROMEX LTDA / AEROMEX"
"01/09/2026";"05:46:42";2026;"SE051982026";50889;"#NULO#";"23981865000181";"REDE RIO FM I LTDA / RIO FM"
"01/09/2026";"05:46:42";2026;"SE060092026";51542;"#NULO#";"10573859000143";"MARTINS, PRODUCOES E PUBLICIDADE LTDA / MARTINS PRODUCOES"
"01/09/2026";"05:46:42";2026;"SE070752026";51440;"#NULO#";"34256010000104";"FONTES E CAMPOS ADVOGADOS ASSOCIADOS"
"01/09/2026";"05:46:42";2026;"SE006842026";354556;"#NULO#";"34166181000142";"CONFEDERACAO DOS SERVIDORES PUBLICOS DO BRASIL C S P B"
"01/09/2026";"05:46:42";2026;"SE016102026";51257;"#NULO#";"15602873000141";"FEDERACAO DOS TRAB NAS INDUSTRIAS DO ESTADO DE SERGIPE"
"01/09/2026";"05:46:42";2026;"SE069572026";52053;"#NULO#";"34333507000189";"RADIO JORNAL FM A VOZ DO POVO DE ARACAJU SERGIPE LTDA / RADIO JORNAL FM A VOZ DO POVO DE ARACAJU"
"01/09/2026";"05:46:42";2026;"SE002812026";354699;"#NULO#";"10573859000143";"MARTINS, PRODUCOES E PUBLICIDADE LTDA / MARTINS PRODUCOES"
"01/09/2026";"05:46:42";2026;"SE052622026";354847;"#NULO#";"13079397000109";"TELEVISAO ATALAIA LTDA / TV ATALAIA"
"01/09/2026";"05:46:42";2026;"SE015892026";354978;"#NULO#";"23981865000181";"REDE RIO FM I LTDA / RIO FM"
"01/09/2026";"05:46:42";2026;"SE073592026";355225;"#NULO#";"28549086000125";"REDE XODO DE COMUNICACAO SOCORRO LTDA / XODO FM"
"01/09/2026";"05:46:42";2026;"SE034772026";355056;"#NULO#";"39966766000160";"REDE RIO FM LTDA / REDE RIO FM"
"01/09/2026";"05:46:42";2026;"SE084322026";354963;"#NULO#";"62535793000109";"R&M ESTRATEGIAS DIGITAIS LTDA / R&M ESTRATEGIAS DIGITAIS"
"01/09/2026";"05:46:42";2026;"SE035362026";355070;"#NULO#";"13029459000160";"RADIO TELEVISAO DE SERGIPE LTDA / TV SERGIPE"
"01/09/2026";"05:46:42";2026;"SE015792026";354578;"#NULO#";"62535793000109";"R&M ESTRATEGIAS DIGITAIS LTDA / R&M ESTRATEGIAS DIGITAIS"
"01/09/2026";"05:46:42";2026;"SE006012026";51952;"#NULO#";"02435075000120";"IN COMUNICACAO PRODUCAO E SERVICOS LTDA / IN COMUNICACAO"
"01/09/2026";"05:46:42";2026;"SE018162026";50938;"#NULO#";"13026547000108";"RADIO ATALAIA DE SERGIPE LTDA / RADIO ATALAIA"
"01/09/2026";"05:46:42";2026;"SE067462026";50939;"#NULO#";"28549086000125";"REDE XODO DE COMUNICACAO SOCORRO LTDA / XODO FM"
"01/09/2026";"05:46:42";2026;"SE009792026";51190;"#NULO#";"16467359000103";"SIM 94 FM LTDA / SIM 94 FM"
"01/09/2026";"05:46:42";2026;"SE014502026";51821;"#NULO#";"51510558000158";"GESTECH SISTEMA E CONSULTORIA LTDA / GESTECH"
"01/09/2026";"05:46:42";2026;"SE049302026";354903;"#NULO#";"10573859000143";"MARTINS, PRODUCOES E PUBLICIDADE LTDA / MARTINS PRODUCOES"
"01/09/2026";"05:46:42";2026;"SE054452026";355064;"#NULO#";"66319356000109";"FJ AGRO SERGIPE LTDA / FJ AGRO BRASIL"
"01/09/2026";"05:46:42";2026;"SE037932026";51968;"#NULO#";"15602873000141";"FEDERACAO DOS TRAB NAS INDUSTRIAS DO ESTADO DE SERGIPE"
"01/09/2026";"05:46:42";2026;"SE053182026";52090;"#NULO#";"34333507000189";"RADIO JORNAL FM A VOZ DO POVO DE ARACAJU SERGIPE LTDA / RADIO JORNAL FM A VOZ DO POVO DE ARACAJU"
"01/09/2026";"05:46:42";2026;"SE092212026";355216;"#NULO#";"23981865000181";"REDE RIO FM I LTDA / RIO FM"
"01/09/2026";"05:46:42";2026;"SE053262026";51810;"#NULO#";"13026547000108";"RADIO ATALAIA DE SERGIPE LTDA / RADIO ATALAIA"
"01/09/2026";"05:46:42";2026;"SE089782026";354901;"#NULO#";"13079397000109";"TELEVISAO ATALAIA LTDA / TV ATALAIA"
"01/09/2026";"05:46:42";2026;"SE074082026";50874;"#NULO#";"28747026000117";"28.747.026 SUELY SOARES SANTOS TELES"
"01/09/2026";"05:46:42";2026;"SE096042026";50529;"#NULO#";"39966766000160";"REDE RIO FM LTDA / REDE RIO FM"
"01/09/2026";"05:46:42";2026;"SE097672026";51106;"#NULO#";"57746724000104";"LUGARE PLANEJAMENTO PROJETOS E CONSULTORIA LTDA / LUGARE PLANEJAMENTO PROJETOS E CONSULTORIA"
"01/09/2026";"05:46:42";2026;"SE016102026";51258;"#NULO#";"15602873000141";"FEDERACAO DOS TRAB NAS INDUSTRIAS DO ESTADO DE SERGIPE"
"01/09/2026";"05:46:42";2026;"SE047182026";52181;"#NULO#";"39966766000160";"REDE RIO FM LTDA / REDE RIO FM"
"01/09/2026";"05:46:42";2026;"SE088572026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"SE057432026";32550;"#NULO#";"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA"
"01/09/2026";"05:46:42";2026;"SE063842026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"SE082992026";205700;"#NULO#";"35851783000100";"ECM - EDICAO, COMUNICACAO & MARKETING LTDA"
"01/09/2026";"05:46:42";2026;"SE000392026";205700;"#NULO#";"35851783000100";"ECM - EDICAO, COMUNICACAO & MARKETING LTDA"
"01/09/2026";"05:46:42";2026;"SE094412026";583595;"#NULO#";"13045935000136";"CAMARA DE DIRIGENTES LOJISTAS DE ARACAJU"
"01/09/2026";"05:46:42";2026;"SE075062026";32550;"#NULO#";"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA"
"01/09/2026";"05:46:42";2026;"SE041062026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"SE052602026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"SE057762026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"SE041672026";583694;"#NULO#";"55149265000148";"TWS POLITICA LTDA"
"01/09/2026";"05:46:42";2026;"SE001812026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"SE064222026";205700;"#NULO#";"35851783000100";"ECM - EDICAO, COMUNICACAO & MARKETING LTDA"
"01/09/2026";"05:46:42";2026;"SE012332026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"SE014542026";32550;"#NULO#";"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA"
"01/09/2026";"05:46:42";2026;"SE042262026";32550;"#NULO#";"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA"
"01/09/2026";"05:46:42";2026;"SE080592026";221450;"#NULO#";"34686514000164";"CTAS CAPACITACAO E CONSULTORIA LTDA"
"01/09/2026";"05:46:42";2026;"SE086082026";215;"#NULO#";"00654576000172";"INSTITUTO VERITA LTDA"
"01/09/2026";"05:46:42";2026;"SE065362026";32550;"#NULO#";"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA"
"01/09/2026";"05:46:42";2026;"SE097802026";205700;"#NULO#";"35851783000100";"ECM - EDICAO, COMUNICACAO & MARKETING LTDA"
"01/09/2026";"05:46:42";2026;"SE024992026";205700;"#NULO#";"35851783000100";"ECM - EDICAO, COMUNICACAO & MARKETING LTDA"
"01/09/2026";"05:46:42";2026;"SE055002026";32550;"#NULO#";"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA"
"01/09/2026";"05:46:42";2026;"SE072272026";32550;"#NULO#";"24899123000174";"INSTITUTO FRANCA DE PESQUISAS LTDA"
"01/09/2026";"05:46:42";2026;"SE057662026";205700;"#NULO#";"35851783000100";"ECM - EDICAO, COMUNICACAO & MARKETING LTDA"
"01/09/2026";"05:46:42";2026;"SE073272026";286502;"#NULO#";"22345021000181";"REAL TIME MIDIA LTDA"
"01/09/2026";"05:46:42";2026;"SE056882026";205700;"#NULO#";"35851783000100";"ECM - EDICAO, COMUNICACAO & MARKETING LTDA"
